Google Flu Trends - United States,,,
Copyright 2015 Google Inc.,,,
,,,
Exported data may be used for any purpose,,,
If you choose to use the data,,,
,,,
Each week begins on the Sunday (Pacific Time) indicated for the row.,,,
Data for the current week will be updated each day until Saturday (Pacific Time).,,,
Note: To open these files in a spreadsheet application,,,
For more information,,,
,,,
Date,"Bellevue, WA","Seattle, WA","Spokane, WA"
2014-08-31,537,1172,692
2014-09-07,532,1010,674
2014-09-14,573,1059,647
2014-09-21,569,1234,639
2014-09-28,600,1198,709
2014-10-05,587,1471,742
2014-10-12,596,2027,1040
2014-10-19,583,1970,1175
2014-10-26,573,1513,1889
2014-11-02,551,1305,2240
2014-11-09,647,1336,1998
2014-11-16,655,1546,1672
2014-11-23,637,1397,1602
2014-11-30,691,1348,1587
2014-12-07,1097,2414,1366
2014-12-14,1121,2884,1618
2014-12-21,1341,4270,3321
2014-12-28,2064,5019,4453
2015-01-04,3410,4680,6944
2015-01-11,5330,5093,5941
2015-01-18,4608,4373,7721
2015-01-25,4181,2933,7081
2015-02-01,3728,3478,5407
2015-02-08,2982,2729,3776
2015-02-15,2707,2458,2973
2015-02-22,2423,1927,2230
2015-03-01,2239,1659,1998
2015-03-08,2056,1891,1827
2015-03-15,1936,2027,2134
2015-03-22,1800,1550,2033
2015-03-29,1657,1373,1888
2015-04-05,1507,1277,2040
2015-04-12,1481,1065,2026
2015-04-19,1382,872,1757
2015-04-26,1279,879,1536
2015-05-03,1224,951,1561
2015-05-10,1184,1393,1503
2015-05-17,1147,1332,1477
2015-05-24,1120,1271,1377
2015-05-31,1101,1008,1234
2015-06-07,1057,1253,1172
2015-06-14,981,1213,1070
2015-06-21,963,933,974
2015-06-28,956,898,916
2015-07-05,938,667,859
2015-07-12,888,586,866
2015-07-19,848,594,860
2015-07-26,822,711,854
2015-08-02,784,558,808
2015-08-09,782,494,761
